0.06998420507 0.005540665705 1 0  0.8115403056 -0.4555724561 0.8841811419 -0.4591108561  1.060399413 -0.5419739485
0.07079458237 0.005458862521 1 0  0.8172397614 -0.4569961429 0.8908250928 -0.4604365528  1.061580539 -0.5405858755
0.07161433995 0.005376548041 1 0  0.8227844238 -0.4583770633 0.8973250389 -0.461722672  1.062768698 -0.5392408967
0.07244359702 0.005293853581 1 0  0.8281773329 -0.4597162604 0.9036835432 -0.462970078  1.063965917 -0.53793782
0.07328245044 0.005210902076 1 0  0.8334217668 -0.461014688 0.9099041224 -0.4641797245  1.065168977 -0.5366755724
0.07413101941 0.005127809942 1 0  0.8385207057 -0.4622733891 0.915989995 -0.4653524756  1.066380262 -0.5354532003
0.07498941571 0.00504468102 1 0  0.8434768915 -0.4634932876 0.9219447374 -0.466489166  1.06760025 -0.5342695117
0.07585776597 0.004961620085 1 0  0.8482938409 -0.4646754861 0.9277711511 -0.4675907493  1.06882751 -0.5331236124
0.07673614472 0.004878718406 1 0  0.8529742956 -0.4658209383 0.9334728122 -0.4686581194  1.07006371 -0.53201437
0.07762470841 0.00479606213 1 0  0.8575219512 -0.4669306576 0.939053297 -0.4696921706  1.07130909 -0.5309407711
0.07852356136 0.004713732749 1 0  0.861939013 -0.468005538 0.9445154667 -0.4706937969  1.072562099 -0.5299018621
0.07943281531 0.004631804302 1 0  0.8662291169 -0.4690466523 0.9498630166 -0.4716638327  1.073824525 -0.5288965702
0.08035261184 0.004550344311 1 0  0.8703947663 -0.4700548947 0.9550989866 -0.4726031721  1.075096726 -0.5279239416
0.0812830627 0.004469417501 1 0  0.8744394183 -0.471031189 0.9602265954 -0.4735127091  1.076378107 -0.5269829631
0.08222425729 0.004389079753 1 0  0.8783656955 -0.4719765186 0.9652490616 -0.4743932486  1.077669263 -0.5260728002
0.08317637444 0.004309385549 1 0  0.8821767569 -0.4728916883 0.9701695442 -0.4752456248  1.078970551 -0.5251924396
0.08413951099 0.004230384249 1 0  0.8858757019 -0.4737776816 0.9749912024 -0.4760706127  1.080282927 -0.5243411064
0.08511380851 0.004152118228 1 0  0.8894647956 -0.4746353328 0.9797173142 -0.4768691063  1.081605196 -0.5235176086
0.08609937876 0.004074627999 1 0  0.8929472566 -0.4754654765 0.9843506813 -0.4776418209  1.082938552 -0.5227214098
0.0870963484 0.003997950349 1 0  0.8963256478 -0.4762688875 0.9888946414 -0.4783895612  1.084282875 -0.5219515562
0.0881048888 0.003922118805 1 0  0.8996027708 -0.4770464599 0.9933518767 -0.4791130126  1.085638404 -0.5212072134
0.0891250819 0.003847159445 1 0  0.9027816653 -0.4777989686 0.9977254868 -0.4798129499  1.087006807 -0.5204875469
0.09015710652 0.003773100674 1 0  0.9058643579 -0.4785271883 1.002018571 -0.4804901481  1.088386178 -0.5197917223
0.09120108932 0.003699963214 1 0  0.9088535905 -0.4792318344 1.006233573 -0.4811451733  1.08977747 -0.5191191435
0.09225713462 0.003627770115 1 0  0.9117522836 -0.4799136221 1.010372996 -0.4817788005  1.091183066 -0.518468976
0.09332542121 0.003556536511 1 0  0.9145625234 -0.4805732965 1.014440656 -0.4823916852  1.092600584 -0.5178405046
0.09440608323 0.003486279398 1 0  0.9172868133 -0.4812116027 1.018438816 -0.4829844832  1.094031096 -0.5172330141
0.09549925476 0.003417009255 1 0  0.9199277163 -0.4818291068 1.022370696 -0.4835577607  1.095475554 -0.516645968
0.09660509229 0.003348738421 1 0  0.9224871993 -0.4824265242 1.026236892 -0.4841121733  1.096934319 -0.5160784125
0.09772371501 0.003281474113 1 0  0.9249680638 -0.4830045104 1.030042768 -0.4846483469  1.098406792 -0.5155299306
0.09885530174 0.003215223318 1 0  0.9273723364 -0.4835636318 1.033788085 -0.4851667881  1.099894166 -0.5149998665
0.1000000015 0.003149990924 1 0  0.9297018647 -0.4841045141 1.037478447 -0.4856681824  1.101396918 -0.5144876838
0.1011578888 0.00308578019 1 0  0.9319593906 -0.4846277535 1.0411129 -0.4861529171  1.102914453 -0.5139926672
0.1023292989 0.00302259298 1 0  0.9341464639 -0.4851339161 1.044696569 -0.4866216183  1.104447007 -0.5135142803
0.1035142094 0.002960430691 1 0  0.9362655282 -0.4856234789 1.048229933 -0.4870747924  1.105996609 -0.5130519867
0.1047128886 0.002899290994 1 0  0.9383180737 -0.4860970676 1.051717162 -0.4875128865  1.107562065 -0.5126053095
0.1059253961 0.002839172026 1 0  0.9403066635 -0.4865551591 1.055158496 -0.4879364967  1.109144807 -0.512173593
0.1071519032 0.002780070063 1 0  0.9422326684 -0.4869982302 1.058558226 -0.4883459806  1.110744476 -0.5117565393
0.1083927155 0.00272198231 1 0  0.944098115 -0.4874268472 1.061917067 -0.4887418747  1.112361073 -0.5113534927
0.1096477956 0.002664899686 1 0  0.9459050894 -0.4878413677 1.065237522 -0.4891245663  1.11399591 -0.5109640956
0.1109174937 0.00260882359 1 0  0.9476549029 -0.4882423282 1.068521857 -0.4894944727  1.115648508 -0.5105878115
0.112201795 0.002553740982 1 0  0.9493495226 -0.488630116 1.071771741 -0.4898520708  1.117321372 -0.5102242827
0.1135010943 0.002499645343 1 0  0.9509904981 -0.489005208 1.074989676 -0.4901977777  1.119011879 -0.509872973
0.1148153991 0.002446528757 1 0  0.9525794983 -0.4893679619 1.078177929 -0.4905318916  1.120721698 -0.5095336437
0.1161448956 0.002394385869 1 0  0.954118073 -0.4897188544 1.081337333 -0.4908548295  1.122452378 -0.5092057586
0.1174897999 0.00234320038 1 0  0.9556077123 -0.4900582433 1.08447051 -0.4911670089  1.124203086 -0.5088889003
0.1188502088 0.002292968566 1 0  0.9570500255 -0.4903864563 1.087579489 -0.4914687276  1.125974894 -0.5085828304
0.1202264056 0.002243677154 1 0  0.9584462643 -0.4907039106 1.090666413 -0.4917603135  1.127767563 -0.5082871914
0.1216186062 0.002195315203 1 0  0.9597979784 -0.4910109639 1.09373188 -0.4920421839  1.129581332 -0.5080014467
0.1230268925 0.002147875261 1 0  0.961106658 -0.4913079441 1.096778512 -0.4923146069  1.131418228 -0.5077254772
0.1244514957 0.002101341961 1 0  0.9623736143 -0.491595149 1.099808931 -0.4925778508  1.133278012 -0.507458806
0.125892505 0.002055705525 1 0  0.9635996222 -0.4918729067 1.102823615 -0.4928323328  1.135159731 -0.5072011352
0.1273503006 0.002010953845 1 0  0.9647865891 -0.4921415746 1.105824351 -0.493078202  1.13706553 -0.5069522858
0.1288250089 0.001967072953 1 0  0.9659354091 -0.4924014211 1.108812451 -0.4933158755  1.138996482 -0.506711781
0.1303167045 0.001924055046 1 0  0.9670474529 -0.4926526845 1.111791492 -0.493545562  1.140950203 -0.5064796209
0.1318257004 0.001881883596 1 0  0.9681236148 -0.492895782 1.114760637 -0.4937674999  1.142930031 -0.5062551498
0.1333520859 0.00184054859 1 0  0.9691652656 -0.4931308329 1.117723823 -0.4939819872  1.144935966 -0.5060384274
